Id,SalePrice
1461,159175.13312128923
1462,231705.91445745053
1463,225686.8072814713
1464,219961.2086620365
1465,193238.02217816902
1466,197888.32165553086
1467,196126.9685579096
1468,184159.77271905297
1469,210685.74735113094
1470,143992.01592437908
1471,201658.68600885815
1472,115768.81121713966
1473,119586.49588253543
1474,184026.03956940759
1475,133978.9638800465
1476,379626.7945016765
1477,274717.84328221506
1478,345660.68198278634
1479,349984.41143021826
1480,410774.3009164327
1481,335214.64095242694
1482,204229.62001841396
1483,196500.9070706383
1484,175986.4787943382
1485,193952.03382069813
1486,218088.07198068788
1487,335385.7885321654
1488,251687.21291537708
1489,194590.34218086072
1490,216809.71074972037
1491,215262.58144885045
1492,130140.18255249492
1493,206500.3666118354
1494,267622.9685540436
1495,304102.58823017654
1496,224098.94170054002
1497,192392.01251945668
1498,165138.74068701328
1499,168249.2405181789
1500,163321.6904313343
1501,180451.9731428605
1502,152101.4584651608
1503,299268.26210870425
1504,237093.4888986504
1505,226420.40497131238
1506,224760.6073727333
1507,253871.23722141678
1508,225596.64477066507
1509,212259.81933287054
1510,177138.7019320892
1511,174843.0944402319
1512,217450.75023081808
1513,203138.93415136295
1514,215174.06246202718
1515,228621.2017310974
1516,191697.9751423668
1517,194941.95790894594
1518,165843.3973269077
1519,234174.77674633762
1520,168574.0030584537
1521,178536.9267655703
1522,208325.5484953261
1523,150836.85272841866
1524,180197.32182388334
1525,163735.951769933
1526,165959.18285123282
1527,124120.91727283905
1528,179305.75183825326
1529,167327.14719149176
1530,202210.14719046582
1531,132217.90915709964
1532,133627.39179731792
1533,195805.3918121066
1534,198443.1127615143
1535,236950.27830751587
1536,166973.49687034547
1537,117024.83047738503
1538,199814.82312411978
1539,236591.0296986729
1540,161546.51903892422
1541,203876.53126278232
1542,190690.0642783606
1543,225812.61565372304
1544,118139.67958204402
1545,151784.71162064897
1546,154224.12961164676
1547,202735.57677699174
1548,182157.69589296335
1549,133855.67823252495
1550,177527.80034668455
1551,161558.39448018643
1552,138518.38019049112
1553,205847.4615889705
1554,148043.62044682735
1555,203656.22035906347
1556,311767.588654398
1557,147176.02755145967
1558,113730.02559568483
1559,116020.34737079633
1560,180009.03142987008
1561,138898.54388927668
1562,155244.66197061728
1563,153559.66998136838
1564,182227.80809580465
1565,176314.76710903636
1566,227623.5878880186
1567,118440.39081082401
1568,258269.94644742532
1569,204844.0425995389
1570,173623.33518700025
1571,166956.1612779844
1572,179490.31873559265
1573,248526.1283085069
1574,167214.13811826237
1575,229972.43565322028
1576,240931.12255993878
1577,195665.05095527737
1578,176494.7991291949
1579,172937.6698854743
1580,221908.00740073065
1581,176142.45268905195
1582,154444.77208414307
1583,334899.06396125443
1584,239140.5416404955
1585,153936.03323538267
1586,103977.28340296594
1587,142513.75020390365
1588,180472.2782036875
1589,162212.1535782684
1590,175299.15492189466
1591,137346.99063734664
1592,214251.78538061006
1593,145130.99221171383
1594,179279.2846518367
1595,161956.7391523832
1596,234458.64206159255
1597,215778.20289976345
1598,218381.2984609663
1599,180410.65644069
1600,182942.34170424458
1601,108500.59185024677
1602,167674.39948533467
1603,112314.38280546869
1604,247387.53896572263
1605,283772.31591542525
1606,186142.16372282608
1607,233714.9321095928
1608,214159.5398696264
1609,194142.6963475274
1610,172507.71531290768
1611,177223.2360832738
1612,182714.1118240677
1613,183470.9945824257
1614,135888.37102553717
1615,100590.68497795482
1616,99067.667893727
1617,114571.3545655033
1618,164181.94370120487
1619,153825.10039760172
1620,206753.4203715017
1621,176828.2743675798
1622,183089.23862104132
1623,266309.6981334999
1624,248663.87488107732
1625,170100.39269336374
1626,198600.9316769382
1627,221559.36573911904
1628,337758.5177467526
1629,199685.2825913988
1630,325272.443344284
1631,204253.34060175213
1632,257343.77725489042
1633,185482.49680461755
1634,210563.2950945412
1635,204827.74927701525
1636,189332.98779908428
1637,206755.51487094557
1638,238708.22721026346
1639,230179.4712561052
1640,270163.589237992
1641,240593.24102147706
1642,261395.102968407
1643,224617.0325995169
1644,231111.08091221098
1645,202122.85411420706
1646,175719.90459496455
1647,187650.5465997874
1648,163521.3140571567
1649,165690.56379424207
1650,146016.63367782568
1651,151272.61239927425
1652,117419.25762629243
1653,114541.51062836971
1654,178475.91842115016
1655,142121.35703093596
1656,166213.98099774253
1657,182888.80458679984
1658,167951.73297082158
1659,137172.10802822467
1660,179684.52802199405
1661,379925.4856766937
1662,405137.9781075663
1663,404658.3109184606
1664,381315.34703317285
1665,351866.9761371468
1666,341083.96993230475
1667,385299.30329359975
1668,374820.6717211593
1669,354308.18275555474
1670,382899.9390667665
1671,265287.8578878546
1672,409539.4443272252
1673,313184.3771257699
1674,252623.45999480123
1675,200959.24277161332
1676,196548.3932382141
1677,222102.10055751796
1678,412317.81535820785
1679,398789.9565687114
1680,319981.9697698804
1681,265924.3194522024
1682,306502.30912822083
1683,181134.03681050902
1684,194524.73478990715
1685,187776.60737644657
1686,179328.18619800577
1687,185711.64024846992
1688,212406.83603047105
1689,206228.16281467016
1690,210817.51036836448
1691,190606.32495356273
1692,302993.4533962552
1693,188445.1588720648
1694,206517.77331679562
1695,184441.8322004209
1696,310545.2357121678
1697,184685.8322004209
1698,348408.3548684087
